artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Gunna,a Gift & a Curse,bread & butter,7IqsNN0EMckx9YqddgXlwg,0.781,0.649,9,-4.294,0,0.247,0.111,0,0.111,0.134,85.063
Lainey Wilson,Watermelon Moonshine,Watermelon Moonshine,6KaKmX6EIu3x2057HoZwQF,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921
Peso Pluma,GÉNESIS,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",6Ec5LeRzkisa5KJtwLfOoW,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018
Morgan Wallen,One Thing At A Time,Ain’t That Some,2YVlDlk2zRceefo6XlC6DX,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086
Peso Pluma,GÉNESIS,ROSA PASTEL,4yjeRuoVickg1G87LWeRes,0.702,0.68,7,-5.451,0,0.0373,0.24,0,0.111,0.86,122.895
Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith),Pound Town 2 (feat. Nicki Minaj & Tay Keith),6IEXjer2qbXhRLFv99NQQv,0.637,0.634,2,-8.126,1,0.426,0.174,0,0.149,0.49,178.037
Coco Jones,What I Didn't Tell You,ICU,58cMDjQSUdWJUgFmHxRhjt,0.584,0.453,8,-6.682,1,0.0661,0.753,0,0.111,0.328,124.913
Miley Cyrus,Endless Summer Vacation,Jaded,3AAY8YicetRPlDAkibHLiS,0.496,0.593,4,-5.154,1,0.0285,0.0476,0,0.0909,0.177,91.038
Young Thug,BUSINESS IS BUSINESS,Abracadabra (feat. Travis Scott),4Zsi5pyvmZBxvRg0KeDFMC,0.625,0.574,8,-6.509,0,0.209,0.0315,0,0.111,0.363,163.203
HARDY,TRUCK BED,TRUCK BED,73NzYbpaYvQ7JfpjztFESL,0.662,0.77,0,-4.887,1,0.0367,0.0875,0,0.35,0.769,132.057
Jelly Roll,Self Medicated,Save Me,1rnYNAJPAb586NhetosdNW,0.677,0.404,0,-9.552,1,0.027,0.653,0,0.249,0.355,83.087
Young Thug,BUSINESS IS BUSINESS,Gucci Grocery Bag,02vvwHxBoZtnNDQFFE64NQ,0.908,0.487,1,-6.591,1,0.158,0.00377,0.000165,0.0703,0.719,145.056
